Name,Nestbox,Section,Number,Longitude,Latitude,Grid Ref
Nestbox B127, B127,b,127,-1.309586205,51.76615612,SP4774207723
Nestbox B128, B128,b,128,-1.309736174,51.76582432,SP4773207686
Nestbox B129, B129,b,129,-1.309967322,51.76587064,SP4771607691
Nestbox B13, B13,b,13,-1.30988614,51.76549253,SP4772207649
Nestbox B130, B130,b,130,-1.310144073,51.76568286,SP4770407670
Nestbox B131, B131,b,131,-1.310207229,51.76534201,SP4770007632
Nestbox B133, B133,b,133,-1.310332327,51.76473989,SP4769207565
Nestbox B134, B134,b,134,-1.310248542,51.7645326,SP4769807542
Nestbox B136, B136,b,136,-1.310671738,51.76433727,SP4766907520
Nestbox B137, B137,b,137,-1.311271535,51.76396316,SP4762807478
Nestbox B138, B138,b,138,-1.31180421,51.76419105,SP4759107503
Nestbox B139, B139,b,139,-1.311607541,51.76365969,SP4760507444
Nestbox B14, B14,b,14,-1.309055439,51.76580234,SP4777907684
Nestbox B140, B140,b,140,-1.312474199,51.76351641,SP4754507427
Nestbox B141, B141,b,141,-1.312743518,51.76340532,SP4752707415
Nestbox B142, B142,b,142,-1.313056542,51.76378478,SP4750507457
Nestbox B142a, B142a,b,142a,-1.312898665,51.76368495,SP4751607446
Nestbox B143, B143,b,143,-1.312619555,51.76393508,SP4753507474
Nestbox B144, B144,b,144,-1.313038098,51.76404542,SP4750607486
Nestbox B145, B145,b,145,-1.312717702,51.76415144,SP4752807498
Nestbox B146, B146,b,146,-1.312295745,51.76426586,SP4755707511
Nestbox B147, B147,b,147,-1.312181745,51.76413932,SP4756507497
Nestbox B148, B148,b,148,-1.311711673,51.76455915,SP4759707544
Nestbox B149, B149,b,149,-1.311154382,51.76499646,SP4763507593
Nestbox B15, B15,b,15,-1.308580716,51.76557477,SP4781207659
Nestbox B150, B150,b,150,-1.311484218,51.76522317,SP4761207618
Nestbox B151, B151,b,151,-1.310989254,51.76537312,SP4764607635
Nestbox B152, B152,b,152,-1.311770452,51.76545862,SP4759207644
Nestbox B153, B153,b,153,-1.312408125,51.76545336,SP4754807643
Nestbox B154, B154,b,154,-1.312575426,51.76493284,SP4753707585
Nestbox B155, B155,b,155,-1.313220318,51.76445109,SP4749307531
Nestbox B156, B156,b,156,-1.312965409,51.76501604,SP4751007594
Nestbox B157, B157,b,157,-1.312799476,51.76544665,SP4752107642
Nestbox B158, B158,b,158,-1.31262028,51.76579626,SP4753307681
Nestbox B159, B159,b,159,-1.313393272,51.76592665,SP4747907695
Nestbox B16, B16,b,16,-1.308310566,51.76618459,SP4783007727
Nestbox B160, B160,b,160,-1.313737475,51.76570388,SP4745607670
Nestbox B161, B161,b,161,-1.314102982,51.76549023,SP4743107646
Nestbox B162, B162,b,162,-1.314181557,51.76508608,SP4742607601
Nestbox B163, B163,b,163,-1.313547026,51.76488457,SP4747007579
Nestbox B164, B164,b,164,-1.313998781,51.76471637,SP4743907560
Nestbox B165, B165,b,165,-1.313728937,51.76435515,SP4745807520
Nestbox B166, B166,b,166,-1.313688331,51.7641661,SP4746107499
Nestbox B168, B168,b,168,-1.313176409,51.76352474,SP4749707428
Nestbox B169, B169,b,169,-1.312907533,51.76310058,SP4751607381
Nestbox B170, B170,b,170,-1.312311175,51.76324994,SP4755707398
Nestbox B170a, B170a,b,170a,-1.312342883,51.7630703,SP4755507378
Nestbox B171, B171,b,171,-1.31196085,51.76341873,SP4758107417
Nestbox B172, B172,b,172,-1.311368997,51.7632714,SP4762207401
Nestbox B173, B173,b,173,-1.309571159,51.76334178,SP4774607410
Nestbox B174, B174,b,174,-1.310019078,51.76342533,SP4771507419
Nestbox B175, B175,b,175,-1.309446474,51.76391649,SP4775407474
Nestbox B176, B176,b,176,-1.310651343,51.76567684,SP4766907669
Nestbox B177, B177,b,177,-1.311742706,51.7663306,SP4759307741
Nestbox B178, B178,b,178,-1.312701894,51.7661474,SP4752707720
Nestbox B179, B179,b,179,-1.313811195,51.76657646,SP4745007767
Nestbox B18, B18,b,18,-1.307353423,51.7662329,SP4789607733
Nestbox B180, B180,b,180,-1.313373501,51.76677171,SP4748007789
Nestbox B181, B181,b,181,-1.312720774,51.76681285,SP4752507794
Nestbox B182, B182,b,182,-1.312125596,51.7668813,SP4756607802
Nestbox B183, B183,b,183,-1.312104413,51.76732175,SP4756707851
